Subset,Loss,Accuracy,F1-Macro
Valid,1.2002712488174438,0.6293436293436293,0.627252132196162
Train,1.176260805130005,0.6438726872743683,0.6400150720401777
Valid,1.2005534172058105,0.6332046332046332,0.6310645255388452
Train,1.1757842779159546,0.6471513989169675,0.6437767685673264
Valid,1.2001007795333862,0.6293436293436293,0.6271875201912516
Train,1.1819225788116454,0.6421564756317689,0.6403873685517067
Valid,1.199855923652649,0.6293436293436293,0.6272568376356501
Train,1.1796189069747924,0.6406405121841156,0.6388891610383188
Valid,1.200295329093933,0.6293436293436293,0.6272568376356501
Train,1.1872161149978637,0.6344624323104693,0.6324391782354715
Valid,1.1998121738433838,0.6216216216216216,0.6183673104838407
Train,1.1892726421356201,0.6440503722924188,0.6413149310902595
Valid,1.1999740600585938,0.6254826254826255,0.6227049910873441
Train,1.1749273777008056,0.6403330888989169,0.6386126125022618
Valid,1.1995495557785034,0.6293436293436293,0.6271875201912516
Train,1.1771247386932373,0.6408661439530686,0.6384632126146942
Valid,1.1991633176803589,0.6216216216216216,0.6183673104838407
Train,1.1730342388153077,0.6422862138989169,0.64030720055656
Valid,1.199325680732727,0.6216216216216216,0.6183673104838407
Train,1.1826647758483886,0.6331128722924187,0.6295481034536531
Valid,1.1989814043045044,0.6254826254826255,0.6228870528310827
Train,1.1827401399612427,0.6386168772563177,0.6359304171732493
Valid,1.1989690065383911,0.6254826254826255,0.6229863008365795
Train,1.1800118923187255,0.632911213898917,0.6306755963772266
Valid,1.1996418237686157,0.6254826254826255,0.6228870528310827
Train,1.1794254302978515,0.648926838898917,0.6457557721206086
Valid,1.1996062994003296,0.6293436293436293,0.627252132196162
Train,1.1794968366622924,0.633692463898917,0.6314057418814999
Valid,1.1990529298782349,0.6293436293436293,0.627252132196162
Train,1.1742768049240113,0.6361433889891697,0.6332536046966591
Valid,1.1986976861953735,0.6293436293436293,0.627252132196162
Train,1.1893041372299193,0.635125225631769,0.6340471093578666
Valid,1.1993108987808228,0.6216216216216216,0.618503771732672
Train,1.1839369773864745,0.6406532039711191,0.6381194770848111
Valid,1.1985129117965698,0.6293436293436293,0.6273513802016588
Train,1.1684633493423462,0.6438134589350181,0.6419818782859233
Valid,1.1979726552963257,0.6254826254826255,0.6229863008365795
Train,1.1832017660140992,0.6431506656137185,0.6406688903215608
Valid,1.1972486972808838,0.6254826254826255,0.6229863008365795
Train,1.185852837562561,0.6327927572202167,0.6295501756171396
Valid,1.1962594985961914,0.6293436293436293,0.6273513802016588
Train,1.176425004005432,0.6526906588447654,0.6485382736654722
Valid,1.1966469287872314,0.6293436293436293,0.6273513802016588
Train,1.1715232133865356,0.6488676105595668,0.6467980397116795
Valid,1.1963979005813599,0.6254826254826255,0.6229863008365795
Train,1.1801769256591796,0.6427952955776173,0.6410044504846786
Valid,1.1944223642349243,0.6293436293436293,0.6273513802016588
Train,1.163927674293518,0.6455649255415162,0.6433769123963204
Valid,1.1928412914276123,0.6293436293436293,0.6273513802016588
Train,1.1734803915023804,0.6341070622743683,0.63183272430749
Valid,1.1911401748657227,0.6254826254826255,0.6229863008365795
Train,1.1705255031585693,0.6418363605595668,0.6378986309185938
Valid,1.1897014379501343,0.6254826254826255,0.6229863008365795
Train,1.1774154663085938,0.6455296705776173,0.6438441434068524
Valid,1.1888689994812012,0.6254826254826255,0.6229863008365795
Train,1.156936812400818,0.6410198555956679,0.6384097750007818
Valid,1.1865164041519165,0.6254826254826255,0.6228870528310827
Train,1.1617549180984497,0.6395997856498195,0.6376255215529942
Valid,1.1844877004623413,0.6293436293436293,0.6275282458497737
Train,1.1558796644210816,0.6464293772563177,0.6435278430149833
Valid,1.1826832294464111,0.6254826254826255,0.6228483538802543
Train,1.1507910013198852,0.6434468073104693,0.6421344763970075
Valid,1.180171012878418,0.6254826254826255,0.6229863008365795
Train,1.1571048259735108,0.6491397788808664,0.6479756549695044
Valid,1.1786606311798096,0.6293436293436293,0.6276109370290123
Train,1.1572816848754883,0.6504540839350181,0.6488279241500492
Valid,1.1762759685516357,0.6293436293436293,0.6276109370290123
Train,1.1584638118743897,0.6398719539711191,0.6385222501224918
Valid,1.1738109588623047,0.6254826254826255,0.6229863008365795
Train,1.1494576454162597,0.654915952166065,0.6539229979245599
Valid,1.1709356307983398,0.6254826254826255,0.6229863008365795
Train,1.1409954309463501,0.6537088222021661,0.6519840682515365
Valid,1.1676146984100342,0.6332046332046332,0.6309929573836224
Train,1.125820779800415,0.6595329422382672,0.6576906190466417
Valid,1.1643017530441284,0.640926640926641,0.6379893864173182
Train,1.1335723400115967,0.6533421705776173,0.6498087753435705
Valid,1.1612902879714966,0.6447876447876448,0.6409457390435651
Train,1.144576406478882,0.63977747066787,0.638734471048064
Valid,1.1594749689102173,0.637065637065637,0.6329943020700652
Train,1.12941517829895,0.6493414372743682,0.6479334480635697
Valid,1.1562868356704712,0.637065637065637,0.6345222934688214
Train,1.1121274709701539,0.6659606272563177,0.6640803423503829
Valid,1.153014898300171,0.637065637065637,0.6353670920209149
Train,1.1188155889511109,0.6583258122743683,0.656805447476392
Valid,1.150277853012085,0.640926640926641,0.6378079999624817
Train,1.110144805908203,0.6656052572202167,0.6626701688718105
Valid,1.1481486558914185,0.6447876447876448,0.6411537256558912
Train,1.1064860105514527,0.6635929038808663,0.661558416593812
Valid,1.1466878652572632,0.6486486486486487,0.6445228687090394
Train,1.1013632535934448,0.667415952166065,0.6651333712139932
Valid,1.1424317359924316,0.637065637065637,0.634163299650295
Train,1.0999882698059082,0.6598403655234657,0.6579168651198761
Valid,1.138389229774475,0.637065637065637,0.6343499273685683
Train,1.0727719068527222,0.6734530121841156,0.6701598479919493
Valid,1.1351726055145264,0.6332046332046332,0.6312424283214431
Train,1.094266986846924,0.6683156588447654,0.6661155113765203
Valid,1.131140947341919,0.637065637065637,0.6338476483192872
Train,1.0806618928909302,0.6686470555054151,0.6675926263367848
Valid,1.1303459405899048,0.6447876447876448,0.6408274744529645
Train,1.077324390411377,0.6672157039711191,0.6655581895255311
Valid,1.1268821954727173,0.6486486486486487,0.6443351986128625
Train,1.0541802763938903,0.6799751805054152,0.6778148604924543
Valid,1.1234439611434937,0.6486486486486487,0.644263496966162
Train,1.054090666770935,0.6825910988267149,0.6783102810668284
Valid,1.1199636459350586,0.637065637065637,0.6324944354298614
Train,1.0582451343536377,0.6817745938628159,0.6798739895676861
Valid,1.117681860923767,0.6332046332046332,0.6295107005497573
Train,1.0633017897605896,0.6753596006317689,0.6733219014492053
Valid,1.1166810989379883,0.6447876447876448,0.6400537371125607
Train,1.0451953411102295,0.676270588898917,0.6760041254726588
Valid,1.1167314052581787,0.6486486486486487,0.6445050786571233
Train,1.0449550151824951,0.6802473488267149,0.678872607194428
Valid,1.1141386032104492,0.6525096525096525,0.6480128028170213
Train,1.032952070236206,0.6815024255415162,0.6797284807528907
Valid,1.1099776029586792,0.6525096525096525,0.6480128028170213
Train,1.0555585503578186,0.6662920239169675,0.6654115037243435
Valid,1.1075190305709839,0.6486486486486487,0.643651994038877
Train,1.0258445739746094,0.6952448104693141,0.694079932670428
Valid,1.1051172018051147,0.6486486486486487,0.6442912051285625
Train,1.0321943759918213,0.6769333822202166,0.675590848230301
Valid,1.1034122705459595,0.6486486486486487,0.6440895882449695
Train,1.0181393027305603,0.6844962770758123,0.6840615786118474
Valid,1.1023666858673096,0.6486486486486487,0.6442314275266221
Train,1.030527687072754,0.6796085288808664,0.6779906667392854
Valid,1.1010761260986328,0.6486486486486487,0.6450374286504198
Train,1.0145492196083068,0.6866510604693141,0.6843818004128586
Valid,1.0994057655334473,0.6486486486486487,0.6448798781375914
Train,1.017709445953369,0.684568197202166,0.6820762097994443
Valid,1.0981016159057617,0.6486486486486487,0.6466440777340355
Train,1.0083938360214233,0.695540952166065,0.6930065858580466
Valid,1.0950498580932617,0.6486486486486487,0.6444542379230906
Train,1.0093673944473267,0.6846626805054152,0.6823314621111776
Valid,1.092367172241211,0.6525096525096525,0.6481524007496948
Train,1.0140618920326232,0.6855031588447653,0.6828523081056556
Valid,1.09239661693573,0.6563706563706564,0.6513749545731842
Train,0.9802052259445191,0.7032702504512636,0.7017219248056251
Valid,1.090955376625061,0.6640926640926641,0.6591887760866316
Train,0.983311927318573,0.7003469088447654,0.6978823004182318
Valid,1.0865147113800049,0.667953667953668,0.6619867560397242
Train,0.9659528017044068,0.7082299187725631,0.7058499495707581
Valid,1.083809733390808,0.6602316602316602,0.6555246627243589
Train,0.9786365747451782,0.7101365072202166,0.7073839509903985
Valid,1.083137035369873,0.6718146718146718,0.666582906007925
Train,0.9811158776283264,0.6993640004512636,0.6950106674881245
Valid,1.0831807851791382,0.6563706563706564,0.6526338593523751
Train,0.9778887867927551,0.704525327166065,0.7040128153406281
Valid,1.08466637134552,0.6447876447876448,0.6411928946198486
Train,0.978087043762207,0.703092565433213,0.7029539661221277
Valid,1.0853865146636963,0.6447876447876448,0.6408827067461446
Train,0.9642156362533569,0.7059341155234657,0.7046866846352802
Valid,1.084252119064331,0.6563706563706564,0.6517025472262035
Train,0.9718497157096863,0.7033294787906137,0.700652469164899
Valid,1.082463026046753,0.6640926640926641,0.658966203650125
Train,0.967536723613739,0.707744810469314,0.7057615254318665
Valid,1.0799202919006348,0.6602316602316602,0.6543300636549787
Train,0.9818622231483459,0.6881430505415163,0.6869827651389293
Valid,1.0784634351730347,0.6640926640926641,0.6588254101306257
Train,0.9507035851478577,0.7028796254512636,0.7003876689420584
Valid,1.0769497156143188,0.6640926640926641,0.6590030653504435
Train,0.9594643592834473,0.7028203971119134,0.7006253318972016
Valid,1.0751217603683472,0.6602316602316602,0.6556996052300222
Train,0.9486913800239563,0.7065137071299639,0.702996926297976
Valid,1.075222134590149,0.6563706563706564,0.6524782532208373
Train,0.9631136894226074,0.6997785988267149,0.6980855904334827
Valid,1.075492024421692,0.6525096525096525,0.6491344974610694
Train,0.9506403684616089,0.7081241538808664,0.706950906472478
Valid,1.0763803720474243,0.6486486486486487,0.6444178778050438
