Subset,Loss,Accuracy,F1-Macro
Train,1.257561731338501,0.6139130189530686,0.6116851368865699
Valid,1.339063048362732,0.5675675675675675,0.5610885931240596
Train,1.2770856142044067,0.6080888989169675,0.6059755026668987
Valid,1.3379557132720947,0.5675675675675675,0.5610885931240596
Train,1.2548721075057983,0.6200318704873646,0.618328273168941
Valid,1.3369622230529785,0.5714285714285714,0.5652934648476865
Train,1.266266942024231,0.6154994923285199,0.6134135560191277
Valid,1.336148738861084,0.5714285714285714,0.5652934648476865
Train,1.2735346555709839,0.6067872856498194,0.6029418809612438
Valid,1.3354727029800415,0.5714285714285714,0.5652934648476865
Train,1.2637409925460816,0.6111433889891696,0.607677905437883
Valid,1.335020661354065,0.5714285714285714,0.5652934648476865
Train,1.2617228984832765,0.6070241990072203,0.6054755330429334
Valid,1.3345918655395508,0.5714285714285714,0.5652934648476865
Train,1.2693727731704711,0.5965605257220217,0.5936682511955854
Valid,1.3343632221221924,0.5714285714285714,0.5652934648476865
Train,1.2644459009170532,0.6126819156137184,0.6097183450061319
Valid,1.334105372428894,0.5714285714285714,0.5652934648476865
Train,1.2755468130111693,0.5886535424187725,0.5869974783806124
Valid,1.3339697122573853,0.5714285714285714,0.5652934648476865
Train,1.2580148220062255,0.6046564756317689,0.6022320673628114
Valid,1.3338919878005981,0.5714285714285714,0.5652934648476865
Train,1.2656604051589966,0.6089533506317689,0.6062362123541123
Valid,1.33384108543396,0.5714285714285714,0.5652934648476865
Train,1.261583685874939,0.6112138989169675,0.6084223551287659
Valid,1.3338414430618286,0.5714285714285714,0.5652934648476865
Train,1.2579307317733766,0.6119006656137185,0.6071376194680098
Valid,1.3338329792022705,0.5714285714285714,0.5652934648476865
Train,1.250813102722168,0.6197484205776174,0.6182340095294455
Valid,1.333829641342163,0.5714285714285714,0.5652934648476865
Train,1.2641181707382203,0.6169195622743683,0.6138850426647482
Valid,1.3337763547897339,0.5714285714285714,0.5652934648476865
Train,1.2728880882263183,0.6014609657039711,0.6011551874855675
Valid,1.3337408304214478,0.5714285714285714,0.5652934648476865
Train,1.264232349395752,0.6057098939530686,0.6025212593524639
Valid,1.3336371183395386,0.5714285714285714,0.5652934648476865
Train,1.269811201095581,0.604136112364621,0.6028751621703803
Valid,1.3334952592849731,0.5714285714285714,0.5652934648476865
