Subset,Loss,Accuracy,F1-Macro
Train,3.322880268096924,0.13548623646209385,0.1250725357464242
Valid,2.8680481910705566,0.18532818532818532,0.17503637566137567
Train,2.719220495223999,0.19205494133574005,0.18154404997472834
Valid,2.4445056915283203,0.30115830115830117,0.28435314739576184
Train,2.3734138011932373,0.2997123194945848,0.2824161595187019
Valid,1.7630634307861328,0.43243243243243246,0.4305629927359238
Train,1.7356021881103516,0.46189079422382673,0.45855053994812656
Valid,2.1031768321990967,0.42857142857142855,0.410111647417493
Train,2.0640366315841674,0.47100490749097473,0.441966612165146
Valid,1.8138067722320557,0.5096525096525096,0.48282049452576736
Train,1.733393406867981,0.5336346457581227,0.5060650105804297
Valid,1.6452831029891968,0.528957528957529,0.510422358153262
Train,1.5727368354797364,0.5652625789711191,0.5529290139462606
Valid,1.8448222875595093,0.4980694980694981,0.4759117476365742
Train,1.8544222593307496,0.5220230708483754,0.5220287577013101
Valid,1.4157679080963135,0.5675675675675675,0.5614327256316723
Train,1.3930821657180785,0.5873984657039711,0.5845821848015746
Valid,1.7387893199920654,0.5328185328185329,0.5361783241690934
Train,1.7186811685562133,0.5422171141696751,0.5242888608816665
Valid,1.7871119976043701,0.5482625482625483,0.5332868721016848
Train,1.6059647798538208,0.5920619923285199,0.5683304153567196
Valid,1.7382599115371704,0.5521235521235521,0.536721860743564
Train,1.549420428276062,0.5710866990072202,0.5597893521943957
Valid,1.5049209594726562,0.5868725868725869,0.5745190284627304
Train,1.3717078924179078,0.5946186823104693,0.596809549537553
Valid,1.5360051393508911,0.5405405405405406,0.5384377659638905
Train,1.5541778087615967,0.5634166290613718,0.5705979611976247
Valid,1.5692137479782104,0.5366795366795367,0.531637123479813
Train,1.466321849822998,0.590073612364621,0.5790299494412967
Valid,1.7407276630401611,0.528957528957529,0.520132735528133
Train,1.535547423362732,0.5831960740072202,0.5665268564520632
Valid,1.591566801071167,0.583011583011583,0.5760442364692986
Train,1.3875102281570435,0.6143276173285199,0.6022806710294667
Valid,1.597360372543335,0.583011583011583,0.575957494782287
Train,1.4642942667007446,0.5766146773465703,0.5695439511798073
Valid,1.4133471250534058,0.5945945945945946,0.5796707553649367
Train,1.342716383934021,0.59485559566787,0.5890601199498549
Valid,1.3049620389938354,0.5945945945945946,0.5948032412480639
Train,1.253938889503479,0.6275609205776174,0.6324547052463826
Valid,1.5070010423660278,0.5444015444015444,0.5373218203515203
Train,1.3561749696731566,0.6059468073104692,0.6017991611376269
Valid,1.5727537870407104,0.5328185328185329,0.5271905697591868
Train,1.3181643962860108,0.6207313289711192,0.6109411431921649
Valid,1.3663666248321533,0.6138996138996139,0.6150773007951801
Train,1.1285751104354858,0.6473883122743682,0.6436583041330788
Valid,1.3704071044921875,0.6177606177606177,0.6130318243201193
Train,1.190204644203186,0.6370896322202166,0.6279948618750298
Valid,1.3829354047775269,0.6023166023166023,0.591652938892598
Train,1.2722736120223999,0.6146942689530686,0.6064429124526927
Valid,1.2000764608383179,0.6486486486486487,0.6449073215317103
Train,1.0598878860473633,0.6746601421480144,0.6752065822690454
Valid,1.2070393562316895,0.6177606177606177,0.6188944409405925
Train,1.0178204655647278,0.675098713898917,0.6785599358686685
Valid,1.3332207202911377,0.5868725868725869,0.5870338785891112
Train,1.1046883821487428,0.6498970555054152,0.6492717378162436
Valid,1.2933095693588257,0.61003861003861,0.6121691479194284
Train,1.042516279220581,0.6647534972924187,0.6625111113980975
Valid,1.1830929517745972,0.6525096525096525,0.6504058310680998
Train,0.921867847442627,0.7007135604693141,0.6988502586228381
Valid,1.1762402057647705,0.6718146718146718,0.667884806166056
Train,0.958672285079956,0.6850772788808663,0.6800188786279094
Valid,1.1794631481170654,0.6640926640926641,0.6611755131928307
Train,0.955996310710907,0.6983698104693141,0.6926238645127376
Valid,1.140917181968689,0.6602316602316602,0.6571663484591432
Train,0.9508138418197631,0.6961684905234657,0.6968060362190556
Valid,1.1228506565093994,0.6563706563706564,0.6557903696689636
Train,0.8776376247406006,0.7059341155234657,0.7062843014001989
Valid,1.1313607692718506,0.6447876447876448,0.6437681197090035
Train,0.9232256770133972,0.7041939305054152,0.7034191938247597
Valid,1.142624020576477,0.6486486486486487,0.6471389946092316
Train,0.912250816822052,0.6992102888086642,0.698081271083601
Valid,1.1415104866027832,0.6525096525096525,0.652105745991195
Train,0.9192734360694885,0.7027146322202167,0.7021346796134794
Valid,1.1311289072036743,0.6525096525096525,0.6521339734585023
Train,0.881055760383606,0.7143022337545126,0.7123613804563336
Valid,1.12057363986969,0.6563706563706564,0.6561778955754927
Train,0.8910143494606018,0.7155220555054151,0.7137388401845686
Valid,1.1139405965805054,0.6563706563706564,0.6561896323166815
Train,0.8793575525283813,0.7075671254512635,0.7057323984198617
Valid,1.111251950263977,0.6640926640926641,0.6632965846860059
Train,0.8857584953308105,0.7135449571299639,0.7125563711143071
Valid,1.1103296279907227,0.667953667953668,0.6668145856723613
Train,0.8807988286018371,0.7146223488267148,0.7115892343467461
Valid,1.1098600625991821,0.667953667953668,0.6671082886798801
Train,0.8918382287025451,0.7154868005415163,0.7133017675746398
Valid,1.1098735332489014,0.667953667953668,0.6671082886798801
Train,0.8781357407569885,0.7143262071299639,0.7135758493625208
Valid,1.1100072860717773,0.667953667953668,0.6671082886798801
Train,0.892179536819458,0.7095794787906138,0.708397040687865
Valid,1.1100422143936157,0.667953667953668,0.6671082886798801
Train,0.8853220582008362,0.7135449571299639,0.7123345044493761
Valid,1.1101574897766113,0.667953667953668,0.6671082886798801
