Subset,Loss,Accuracy,F1-Macro
Train,2.1444796085357667,0.12093862815884478,0.09318035154875419
Valid,2.056715965270996,0.20463320463320464,0.2029991772372119
Train,2.075200080871582,0.1639778880866426,0.15090650066861822
Valid,2.031642198562622,0.23166023166023167,0.18985499476571277
Train,2.063095140457153,0.21742159296028882,0.15592742431129503
Valid,1.913263201713562,0.33976833976833976,0.31393003596105606
Train,1.9297145128250122,0.32859459611913355,0.3018322360425521
Valid,1.902741551399231,0.3204633204633205,0.29189034020296534
Train,1.9120971441268921,0.2990142712093863,0.2609954992833454
Valid,1.8001062870025635,0.38996138996138996,0.36965682199220623
Train,1.8020622253417968,0.38104411101083036,0.35995745178209365
Valid,1.7193381786346436,0.4671814671814672,0.43305887397309306
Train,1.7369606018066406,0.42353903429602885,0.3851074493055486
Valid,1.7403286695480347,0.4517374517374517,0.4034110499482064
Train,1.76237313747406,0.4055350293321299,0.3669389615214559
Valid,1.6118955612182617,0.44015444015444016,0.3846652120795325
Train,1.6099532127380372,0.4757756092057762,0.4459680320830861
Valid,1.7363544702529907,0.3938223938223938,0.36973370005162676
Train,1.730653500556946,0.4133715027075812,0.38663765944655476
Valid,1.5592907667160034,0.46332046332046334,0.4585839977247096
Train,1.5578544855117797,0.47349108754512637,0.4574802407450579
Valid,1.5915447473526,0.4980694980694981,0.47038512905973817
Train,1.6012656688690186,0.4477930392599278,0.42271833002334863
Valid,1.6728652715682983,0.5019305019305019,0.4547253750005113
Train,1.6646402597427368,0.48212009250902527,0.4364995463437317
Valid,1.5609384775161743,0.4247104247104247,0.3655236704268181
Train,1.5168323040008544,0.4759885491877256,0.4312891642407017
Valid,1.6226741075515747,0.44015444015444016,0.4115311557181754
Train,1.6015318393707276,0.4614761958483754,0.4400203801175063
Valid,1.5863782167434692,0.4015444015444015,0.38994429336721426
Train,1.5873882293701171,0.4173482626353791,0.411585360939102
Valid,1.4115588665008545,0.5521235521235521,0.5467303044638816
Train,1.4161529064178466,0.5325459724729242,0.5298159930975253
Valid,1.625328540802002,0.528957528957529,0.49294286185656516
Train,1.6165028095245362,0.47841550090252705,0.4493836699734424
